run_ts,host,gomaxprocs,go_version,git_commit,logn,k,slots,blocks,seed,rounds,subbytes,xor,clean,cleandepth,place,extract,extractlv,logscale,primes,logq0,logq,logp,logqp,dnum,digit_bits,marge,q_sizes,p_sizes,chain_id,h,h_tilde,s2c_levels,c2s_levels,mod1_type,mod1_deg,mod1_k,logmsgratio,galois_keys,key_gb,keygen_ms,dft_ms,refresh_lv,ark_lv,seq,round,step,ms,elapsed_ms,level,prec_avg,prec_min,worst_err,slots_pooled,bit_err,blocks_wrong
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,26,5,Cleaning,489.756,150974.306,5,29.299,24.505,0.000000,131072,0.000000,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,27,6,SubBytes,3774.293,154748.599,2,18.517,14.260,0.000051,131072,0.000051,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,28,6,Refresh,24683.994,179432.594,11,22.383,17.315,0.000006,131072,0.000006,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,29,6,MixColumns,1957.746,181390.340,8,16.150,14.569,0.000041,131072,0.000041,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,30,6,AddRoundKey,363.823,181754.163,7,16.149,14.569,0.000041,131072,0.000041,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,31,6,Cleaning,555.709,182309.873,5,29.294,24.387,0.000000,131072,0.000000,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,32,7,SubBytes,3907.935,186217.809,2,18.507,14.261,0.000051,131072,0.000051,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,33,7,Refresh,24898.394,211116.203,11,22.414,17.315,0.000006,131072,0.000006,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,34,7,MixColumns,1729.231,212845.434,8,16.164,14.571,0.000041,131072,0.000041,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,35,7,AddRoundKey,317.944,213163.379,7,16.164,14.571,0.000041,131072,0.000041,0
