run_ts,logn,k,slots,blocks,seed,rounds,subbytes,xor,clean,cleandepth,place,extract,extractlv,primes,logscale,refresh_lv,ark_lv,seq,round,step,ms,level,prec_avg,prec_min,worst_err,slots_pooled,bit_err,blocks_wrong
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,1,0,FirstRound,317.286,5,29.871,25.048,0.0,262144,0.0,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,2,1,SubBytes,7313.881,2,19.162,13.653,7.8e-05,262144,7.8e-05,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,3,1,Refresh,58407.218,11,13.924,9.828,0.0011,262144,0.0011,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,4,1,MixColumns,3870.859,8,10.928,8.573,0.002626,262144,0.002626,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,5,1,AddRoundKey,678.745,7,10.928,8.573,0.002626,262144,0.002626,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,6,1,Cleaning,1163.782,5,20.244,15.563,2.1e-05,262144,2.1e-05,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,7,2,SubBytes,7505.996,2,15.53,12.812,0.000139,262144,0.000139,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,8,2,Refresh,56781.771,11,12.203,8.338,0.003091,262144,0.003091,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,9,2,MixColumns,3876.097,8,10.489,7.168,0.006956,262144,0.006956,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,10,2,AddRoundKey,674.913,7,10.489,7.168,0.006956,262144,0.006956,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,11,2,Cleaning,1159.146,5,19.356,12.757,0.000144,262144,0.000144,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,12,3,SubBytes,7541.251,2,14.916,11.618,0.000318,262144,0.000318,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,13,3,Refresh,56393.845,11,11.922,7.736,0.004691,262144,0.004691,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,14,3,MixColumns,3854.48,8,10.303,6.96,0.00803,262144,0.00803,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,15,3,AddRoundKey,665.728,7,10.303,6.96,0.00803,262144,0.00803,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,16,3,Cleaning,1144.983,5,18.989,12.344,0.000192,262144,0.000192,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,17,4,SubBytes,7325.517,2,14.69,11.263,0.000407,262144,0.000407,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,18,4,Refresh,57065.509,11,11.798,7.222,0.006698,262144,0.006698,0
2026-09-07T16:59:05+02:00,12,4,4096,2048,1788793145584114881,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,19,4,MixColumns,3863.234,8,10.198,6.552,0.010658,262144,0.010658,0
